"02/29/2020","PAPA JOHNS #2360 717-397-7200 PAPA JOHNS #","Debit Card Withdrawal","","($24.73)"
"02/29/2020","CMSVEND*CV HARRISBURG MIDDLETOWN PA","Debit Card Withdrawal","","($02.85)"
"02/29/2020","CMSVEND*CV HARRISBURG MIDDLETOWN PA","Debit Card Withdrawal","","($04.10)"
"02/29/2020","CMSVEND*CV HARRISBURG MIDDLETOWN PA","Debit Card Withdrawal","","($02.85)"
"02/29/2020","SWIPE 5 REBATE","Deposit","","$06.65"
"02/28/2020","ALDI 60001 1884 FRUITVILLE PIKE LANCASTER","Debit Card POS Withdrawal","","($126.89)"
"02/28/2020","ADOBE CREATIVE CLOUD 800-833-6687 ADOBE CR","Debit Card Withdrawal","","($31.79)"
"02/28/2020","GRUBHUBTACOBELL GRUBHUB.COM NY","Debit Card Withdrawal","","($20.51)"
"02/28/2020","CMSVEND*CV HARRISBURG MIDDLETOWN PA","Debit Card Withdrawal","","($02.85)"
"02/28/2020","CMSVEND*CV HARRISBURG MIDDLETOWN PA","Debit Card Withdrawal","","($02.85)"
"02/28/2020","MCDONALD'S F1956 LANCASTER PA","Debit Card Withdrawal","","($11.53)"
"02/28/2020","SYGMA NETWORK IN","Electronic Deposit","","$646.83"
"02/28/2020","TST* TWO COUSINS PIZZA - QUARRYVILLE PA","Debit Card Withdrawal","","($25.75)"
"02/27/2020","GOOGLE *YOUTUBE VIDEOS MOUNTAIN VIEW CA","Debit Card POS Withdrawal","","($04.23)"
"02/27/2020","FEDLOANSERVICING","Electronic Withdrawal","","($422.16)"
"02/26/2020","THRIVENT FINANCL","Electronic Withdrawal","","($45.44)"
"02/26/2020","MARSHALLS #0770 LANCASTER PA","Debit Card Withdrawal","","($15.87)"
"02/26/2020","MCDONALD'S F1956 LANCASTER PA","Debit Card Withdrawal","","($18.71)"
"02/25/2020","GOOGLE *ZAIDDURRANI MOUNTAIN VIEW CA","Debit Card POS Withdrawal","","($05.82)"
"02/25/2020","MERCARI 415-8001078 MERCARI CAUSINC700","Debit Card Withdrawal","","($32.86)"
"02/25/2020","GRUBHUBTACOBELL GRUBHUB.COM NY","Debit Card Withdrawal","","($28.96)"
"02/25/2020","CMSVEND*CV HARRISBURG MIDDLETOWN PA","Debit Card Withdrawal","","($01.45)"
"02/25/2020","CMSVEND*CV HARRISBURG MIDDLETOWN PA","Debit Card Withdrawal","","($03.85)"
"02/25/2020","CMSVEND*CV HARRISBURG MIDDLETOWN PA","Debit Card Withdrawal","","($02.85)"
"02/25/2020","GIANT 6484 LANCASTER PA","Debit Card Withdrawal","","($17.30)"
"02/25/2020","DUNKIN #346480 Q35 LANCASTER PA","Debit Card Withdrawal","","($04.75)"
"02/24/2020","WALGREENS #9876 LANCASTER PA","Debit Card Withdrawal","","($23.45)"
"02/24/2020","GRUBHUBTACOBELL GRUBHUB.COM NY","Debit Card Withdrawal","","($26.75)"
"02/24/2020","CMSVEND*CV HARRISBURG MIDDLETOWN PA","Debit Card Withdrawal","","($04.10)"
"02/24/2020","TST* TWO COUSINS PIZZA - QUARRYVILLE PA","Debit Card Withdrawal","","($30.97)"
"02/24/2020","APPLE.COM/BILL 866-712-7753 APPLE.COM/BILL","Debit Card Withdrawal","","($05.29)"
"02/23/2020","STACKCOMME* SC* POPULA HTTPSWWW.STAC CA","Debit Card Withdrawal","","($41.34)"
"02/22/2020","SUNOCO 0729408500 HARRISBURG PA","Debit Card Withdrawal","","($33.11)"
"02/22/2020","NETFLIX.COM NETFLIX.COM CA","Debit Card Withdrawal","","($13.77)"
"02/22/2020","CMSVEND*CV HARRISBURG MIDDLETOWN PA","Debit Card Withdrawal","","($01.10)"
"02/22/2020","WALGREENS #9876 LANCASTER PA","Debit Card Withdrawal","","($20.43)"
"02/22/2020","1232 YANGS CHINESE R LANCASTER PA","Debit Card Withdrawal","","($28.17)"
"02/21/2020","ALDI 60001 1884 FRUITVILLE PIKE LANCASTER","Debit Card POS Withdrawal","","($106.87)"
"02/21/2020","AES STDNT LOAN","Electronic Withdrawal","","($84.32)"
"02/21/2020","GREAT LAKES","Electronic Withdrawal","","($81.91)"
"02/21/2020","NORTHWESTERN MU","Electronic Withdrawal","","($44.01)"
"02/21/2020","AMAZON.COM*O610D4XK3 SEATTLE WA","Debit Card POS Withdrawal","","($24.17)"
"02/21/2020","CMSVEND*CV HARRISBURG MIDDLETOWN PA","Debit Card Withdrawal","","($01.10)"
"02/21/2020","DUNKIN #346480 Q35 LANCASTER PA","Debit Card Withdrawal","","($03.59)"
"02/21/2020","ALDI INC","Electronic Deposit","","$1,092.29"
"02/21/2020","SYGMA NETWORK IN","Electronic Deposit","","$680.33"
"02/20/2020","PP ELEC BILL","Electronic Withdrawal","","($217.84)"
"02/20/2020","DISNEYPLUS 888-9057888 DISNEYPLUS CAUS0000","Debit Card Withdrawal","","($07.41)"
"02/20/2020","TRANSFER VISA PAYMENT","Online Banking Withdrawal","","($101.00)"
"02/20/2020","AMAZON.COM*SO4MF1V33 SEATTLE WA","Debit Card POS Withdrawal","","($20.36)"
"02/19/2020","SQ *EDWIN PEREZ LANCASTER PA","Debit Card Withdrawal","","($43.75)"
"02/19/2020","CRUNCH FIT","Electronic Withdrawal","","($24.95)"
"02/19/2020","GOOGLE *GOOGLE STORAGE MOUNTAIN VIEW CA","Debit Card POS Withdrawal","","($09.99)"
"02/19/2020","SEPHORA.COM 877-SEPHORA CA","Debit Card Withdrawal","","($53.53)"
"02/19/2020","GIANT 6484 LANCASTER PA","Debit Card Withdrawal","","($31.62)"
"02/18/2020","GOOGLE *GOOGLE MUSIC MOUNTAIN VIEW CA","Debit Card POS Withdrawal","","($10.59)"
"02/18/2020","PLANET FIT","Electronic Withdrawal","","($19.99)"
"02/18/2020","PAPA JOHNS #2360 717-397-7200 PAPA JOHNS #","Debit Card Withdrawal","","($38.97)"
"02/18/2020","CMSVEND*CV HARRISBURG MIDDLETOWN PA","Debit Card Withdrawal","","($02.60)"
"02/18/2020","SP * COLOURPOP COLOURPOPPRD. CA","Debit Card Withdrawal","","($36.34)"
